game time: 5163, player: [0, -102], player speed: [0, 0]
game time: 5179, player: [0, -101.5], player speed: [0, 0.5]
game time: 5195, player: [0, -102], player speed: [0, 0]
game time: 5213, player: [0, -101.5], player speed: [0, 0.5]
game time: 5229, player: [0, -102], player speed: [0, 0]
game time: 5245, player: [0, -101.5], player speed: [0, 0.5]
game time: 5262, player: [0, -102], player speed: [0, 0]
game time: 5279, player: [0, -101.5], player speed: [0, 0.5]
game time: 5294, player: [0, -102], player speed: [0, 0]
game time: 5310, player: [0, -101.5], player speed: [0, 0.5]
game time: 5327, player: [0, -102], player speed: [0, 0]
game time: 5344, player: [0, -101.5], player speed: [0, 0.5]
game time: 5360, player: [0, -102], player speed: [0, 0]
game time: 5376, player: [0, -101.5], player speed: [0, 0.5]
game time: 5393, player: [0, -102], player speed: [0, 0]
game time: 5412, player: [0, -111.5], player speed: [0, -9.5]
game time: 5426, player: [0, -120.5], player speed: [0, -9]
game time: 5444, player: [0, -129], player speed: [0, -8.5]
game time: 5458, player: [0, -137], player speed: [0, -8]
game time: 5475, player: [0, -144.5], player speed: [0, -7.5]
game time: 5492, player: [0, -151.5], player speed: [0, -7]
game time: 5509, player: [0, -158], player speed: [0, -6.5]
game time: 5527, player: [0, -164], player speed: [0, -6]
game time: 5542, player: [0, -169.5], player speed: [0, -5.5]
game time: 5558, player: [0, -174.5], player speed: [0, -5]
game time: 5575, player: [0, -179], player speed: [0, -4.5]
game time: 5591, player: [0, -183], player speed: [0, -4]
game time: 5607, player: [0, -186.5], player speed: [0, -3.5]
game time: 5624, player: [0, -189.5], player speed: [0, -3]
game time: 5640, player: [0, -192], player speed: [0, -2.5]
game time: 5656, player: [0, -194], player speed: [0, -2]
game time: 5673, player: [0, -195.5], player speed: [0, -1.5]
game time: 5689, player: [0, -196.5], player speed: [0, -1]
game time: 5706, player: [0, -197], player speed: [0, -0.5]
game time: 5723, player: [0, -197], player speed: [0, 0]
game time: 5738, player: [0, -196.5], player speed: [0, 0.5]
game time: 5754, player: [0, -195.5], player speed: [0, 1]
game time: 5772, player: [0, -194], player speed: [0, 1.5]
game time: 5788, player: [0, -192], player speed: [0, 2]
